Country,Admin1,SubDiv,Year,List,Cause,Sex,Frmat,IM_Frmat,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Deaths6,Deaths7,Deaths8,Deaths9,Deaths10,Deaths11,Deaths12,Deaths13,Deaths14,Deaths15,Deaths16,Deaths17,Deaths18,Deaths19,Deaths20,Deaths21,Deaths22,Deaths23,Deaths24,Deaths25,Deaths26,IM_Deaths1,IM_Deaths2,IM_Deaths3,IM_Deaths4
2180,,,1961,07A,A000,1,08,08,30171,10733,6269,,,,1737,,1277,,1382,,1255,,1340,,1565,,4231,,,,,,,382,10733,,,
2180,,,1961,07A,A000,2,08,08,27995,9325,6375,,,,1571,,1084,,1236,,1178,,993,,1334,,4581,,,,,,,318,9325,,,
2180,,,1961,07A,A001,1,08,08,572,16,26,,,,21,,51,,93,,75,,101,,74,,111,,,,,,,4,16,,,
2180,,,1961,07A,A001,2,08,08,456,14,36,,,,21,,56,,89,,70,,37,,40,,92,,,,,,,1,14,,,
2180,,,1961,07A,A002,1,08,08,31,2,11,,,,5,,4,,3,,5,,1,,0,,0,,,,,,,0,2,,,
2180,,,1961,07A,A002,2,08,08,22,4,5,,,,6,,3,,0,,2,,1,,0,,1,,,,,,,0,4,,,
2180,,,1961,07A,A003,1,08,08,35,1,2,,,,3,,9,,2,,1,,4,,5,,8,,,,,,,0,1,,,
2180,,,1961,07A,A003,2,08,08,26,0,6,,,,2,,3,,5,,1,,6,,0,,3,,,,,,,0,0,,,
2180,,,1961,07A,A004,1,08,08,5,0,0,,,,0,,1,,0,,1,,0,,0,,3,,,,,,,0,0,,,
2180,,,1961,07A,A004,2,08,08,2,1,0,,,,0,,0,,0,,0,,1,,0,,0,,,,,,,0,1,,,
2180,,,1961,07A,A005,1,08,08,31,2,1,,,,3,,2,,4,,8,,6,,2,,3,,,,,,,0,2,,,
2180,,,1961,07A,A005,2,08,08,21,1,5,,,,1,,1,,3,,4,,3,,2,,1,,,,,,,0,1,,,
2180,,,1961,07A,A006,1,08,08,8,7,1,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,7,,,
2180,,,1961,07A,A006,2,08,08,4,3,1,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,3,,,
2180,,,1961,07A,A007,1,08,08,1,0,0,,,,0,,1,,0,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A007,2,08,08,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A008,1,08,08,2,0,0,,,,0,,0,,1,,0,,0,,0,,1,,,,,,,0,0,,,
2180,,,1961,07A,A008,2,08,08,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A009,1,08,08,5,0,0,,,,0,,0,,0,,1,,0,,2,,1,,,,,,,1,0,,,
2180,,,1961,07A,A009,2,08,08,3,0,0,,,,0,,0,,0,,1,,0,,2,,0,,,,,,,0,0,,,
2180,,,1961,07A,A010,1,08,08,15,1,0,,,,0,,0,,0,,1,,3,,3,,6,,,,,,,1,1,,,
2180,,,1961,07A,A010,2,08,08,7,1,2,,,,0,,0,,0,,1,,1,,0,,2,,,,,,,0,1,,,
2180,,,1961,07A,A011,1,08,08,2,0,0,,,,0,,0,,0,,0,,0,,0,,2,,,,,,,0,0,,,
2180,,,1961,07A,A011,2,08,08,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A012,1,08,08,373,119,121,,,,56,,27,,14,,7,,8,,7,,12,,,,,,,2,119,,,
2180,,,1961,07A,A012,2,08,08,373,86,140,,,,55,,31,,20,,10,,8,,7,,10,,,,,,,6,86,,,
2180,,,1961,07A,A013,1,08,08,15,4,3,,,,5,,1,,1,,0,,0,,0,,1,,,,,,,0,4,,,
2180,,,1961,07A,A013,2,08,08,15,2,7,,,,1,,1,,0,,1,,0,,0,,3,,,,,,,0,2,,,
